Q9UKT9 ENST00000346872
Q9Y2U9 ENST00000298307
Q9UHL4 ENST00000371579
P54710 ENST00000292079
Q9UHL3 ENST00000440605
Q9Y2U8 ENST00000308330
Q9Y365 ENST00000543304
Q9Y2U5 ENST00000344908
Q14703 ENST00000343411
Q9Y366 ENST00000373039
Q96NX5 ENST00000361322
Q6PKX4 ENST00000382713
Q9UHL9 ENST00000455841
Q9HBJ8 ENST00000380342
P42765 ENST00000285093
P42766 ENST00000348462
Q86UA1 ENST00000355765
Q9HBJ7 ENST00000254181
P42768 ENST00000599235
P15153 ENST00000249071
Q96NW7 ENST00000035383
Q9HBJ0 ENST00000359237
Q8N9B4 ENST00000393392
P15151 ENST00000425690
Q8N9B5 ENST00000396137
Q9Y2V2 ENST00000561530
Q9Y371 ENST00000482504
P41439 ENST00000325101
Q8N9B8 ENST00000374459
Q9Y2V3 ENST00000334889
Q86UA6 ENST00000539417
Q9Y2V0 ENST00000437989
P27144 ENST00000395334
Q9Y376 ENST00000409788
Q9Y375 ENST00000260361
P28472 ENST00000311550
Q9UHM6 ENST00000372071
Q9Y2V7 ENST00000455146
Q96NW4 ENST00000306065
Q9BQY4 ENST00000371388
Q6J9G0 ENST00000075503
P54727 ENST00000358015
Q9NTZ6 ENST00000374114
Q9BQY9 ENST00000372710
P54725 ENST00000586534
Q9BQY6 ENST00000372665
P16499 ENST00000255266
Q9HBI6 ENST00000402119
Q9HBI5 ENST00000462069
Q9HBI0 ENST00000444313
Q9HBI1 ENST00000406477
Q9Y383 ENST00000354926
Q9Y2W3 ENST00000471889
Q5H9I0 ENST00000310125
Q9Y2W2 ENST00000261167
Q9Y385 ENST00000435041
Q8N9A8 ENST00000458059
Q6DHV7 ENST00000562188
Q9UHN1 ENST00000539111
Q9Y2W1 ENST00000354618
Q86TU7 ENST00000331768
Q9Y303 ENST00000413459
Q8N988 ENST00000252840
Q9Y305 ENST00000379303
Q8N987 ENST00000417640
Q9BR11 ENST00000372523
Q9UHF1 ENST00000371698
Q9BQP7 ENST00000377710
Q9UHF0 ENST00000393867
A6NGQ2 ENST00000370359
Q9UHF5 ENST00000261796
Q9UHF4 ENST00000316649
Q9BR10 ENST00000372519
Q9UHF7 ENST00000395715
Q99645 ENST00000261172
Q8WTS6 ENST00000274031
Q99643 ENST00000367975
Q8WU43 ENST00000409684
Q96NM4 ENST00000341197
Q8WTS1 ENST00000458276
P17706 ENST00000309660
Q99640 ENST00000262300
P17707 ENST00000368885
Q86U70 ENST00000425280
Q8N8W4 ENST00000457797
Q8N983 ENST00000318325
Q3KNT9 ENST00000389982
Q9Y314 ENST00000596358
Q9Y2P4 ENST00000262462
Q9BR01 ENST00000330884
Q9Y316 ENST00000379383
Q9Y315 ENST00000428559
Q9Y2P5 ENST00000263093
Q9UHG3 ENST00000433351
Q9Y2P0 ENST00000537055
Q9UHG2 ENST00000218230
P04406 ENST00000396859
Q9Y312 ENST00000373932
Q9UHG0 ENST00000378454
Q9Y2P8 ENST00000381750
Q9NU53 ENST00000367419
Q9Y2P7 ENST00000282308
Q96NL1 ENST00000297459
Q8WTR4 ENST00000529721
Q96NL0 ENST00000338056
Q8WTR2 ENST00000354221
Q96NL3 ENST00000329285
Q99633 ENST00000378572
Q96NL8 ENST00000286688
Q99638 ENST00000307980
Q8WU39 ENST00000302125
Q8N8V4 ENST00000311620
A6NGR9 ENST00000398882
Q96NL6 ENST00000281142
Q8N8V2 ENST00000294671
Q8WTR7 ENST00000270617
Q9Y2Q5 ENST00000368302
Q8N966 ENST00000319374
Q9Y324 ENST00000341162
Q86U44 ENST00000298717
Q9BQN1 ENST00000374408
Q86U42 ENST00000216727
Q9Y2Q1 ENST00000594947
Q9Y2Q0 ENST00000381668
A6NGS2 ENST00000378187
Q9Y320 ENST00000278422
Q9Y2Q3 ENST00000479303
Q3KNW5 ENST00000273905
Q86TS9 ENST00000355151
Q9Y2Q9 ENST00000276585
Q9NU63 ENST00000548769
Q9Y328 ENST00000519717
Q9UHH9 ENST00000328631
Q9NTU7 ENST00000064571
Q99623 ENST00000607454
Q8WTQ4 ENST00000299191
Q7L8W6 ENST00000256538
Q8WTQ1 ENST00000316169
Q99622 ENST00000229281
Q7L985 ENST00000308675
Q8WU20 ENST00000397997
Q9Y2R0 ENST00000328434
Q9Y330 ENST00000375527
Q99627 ENST00000354371
Q8N8U2 ENST00000570137
Q8WTQ7 ENST00000264952
Q8N960 ENST00000328236
Q8N961 ENST00000435224
Q99626 ENST00000381020
Q9Y336 ENST00000250360
Q9Y2R5 ENST00000285298
Q8N954 ENST00000409774
Q9Y337 ENST00000593428
Q9Y2R2 ENST00000460620
A6NH52 ENST00000299866
Q9UHI5 ENST00000316902
Q502X0 ENST00000340556
Q9Y2R4 ENST00000349699
Q9Y334 ENST00000452329
Q9Y333 ENST00000375661
Q9UHI8 ENST00000284984
Q9UHI7 ENST00000353963
Q9UHI6 ENST00000369702
Q86U38 ENST00000267425
Q3KNV8 ENST00000505655
Q9Y2R9 ENST00000245539
Q99612 ENST00000497571
Q99613 ENST00000395587
Q8WU10 ENST00000240651
Q99611 ENST00000500504
Q3KNW1 ENST00000332281
Q96NJ6 ENST00000318833
Q99618 ENST00000599860
Q8WTP8 ENST00000379231
Q9BQL6 ENST00000217289
Q8WTP9 ENST00000346279
Q9Y2S0 ENST00000302979
Q99619 ENST00000597925
Q96NJ3 ENST00000330997
Q99616 ENST00000225844
Q8WU17 ENST00000303545
Q99614 ENST00000522793
Q96NJ5 ENST00000369261
Q502W6 ENST00000477737
Q99615 ENST00000457167
Q9BQT8 ENST00000331299
Q9Y2K1 ENST00000394712
P04439 ENST00000396634
Q9BQT9 ENST00000537408
Q9Y2K7 ENST00000529006
Q9Y2K6 ENST00000358355
Q9Y2K9 ENST00000273666
Q8WU90 ENST00000337859
Q9Y2K3 ENST00000273353
Q9UHB6 ENST00000394943
P16415 ENST00000341191
Q9Y2K2 ENST00000292055
P17752 ENST00000341556
Q9UHB4 ENST00000371521
Q9Y2K5 ENST00000347140
Q99689 ENST00000278919
Q68EM7 ENST00000289968
P16422 ENST00000263735
Q9UHB9 ENST00000307877
Q9NU02 ENST00000378380
Q9HBD1 ENST00000373670
P42701 ENST00000593993
Q99687 ENST00000561293
P42702 ENST00000263409
Q9UHB7 ENST00000265343
Q99685 ENST00000265052
Q6PL24 ENST00000216468
P42704 ENST00000260665
Q99683 ENST00000359015
Q8WTW3 ENST00000299886
Q8WTW4 ENST00000232501
Q99684 ENST00000370332
P29728 ENST00000342315
P04440 ENST00000399500
P05771 ENST00000303531
Q9BQS7 ENST00000519389
Q9BQS6 ENST00000565659
P30711 ENST00000248935
Q9Y2L1 ENST00000377767
Q9BQS8 ENST00000296137
Q9UHC3 ENST00000297512
Q9Y2L8 ENST00000326775
Q9UHC1 ENST00000355774
Q99680 ENST00000304402
Q9Y2L9 ENST00000389797
Q9UHC7 ENST00000255977
Q9UHC6 ENST00000361727
Q9BQS2 ENST00000581986
Q9Y2L6 ENST00000398540
Q9Y2L5 ENST00000283351
Q99678 ENST00000377741
Q99679 ENST00000373642
Q8WU79 ENST00000372718
Q9UHC9 ENST00000289547
Q8WU76 ENST00000401642
Q99676 ENST00000377419
Q99677 ENST00000435339
Q99674 ENST00000404694
Q99675 ENST00000216420
Q68EN5 ENST00000563902
Q9NU19 ENST00000373491
Q86TY3 ENST00000267485
P05783 ENST00000388837
Q8N8Z8 ENST00000357901
Q8N8Z6 ENST00000338728
Q9Y2M0 ENST00000362065
Q86U86 ENST00000296302
Q9Y2M2 ENST00000544814
Q9UHD0 ENST00000340758
Q9BR39 ENST00000372980
Q9HBB8 ENST00000397542
Q86TW2 ENST00000238561
Q9UHD4 ENST00000258807
Q8WTV0 ENST00000415380
Q8WTV1 ENST00000054650
Q9UHD2 ENST00000331710
Q9UHD1 ENST00000320585
Q9UHD8 ENST00000427177
Q9Y2M5 ENST00000209884
Q9NU22 ENST00000369393
Q8WU67 ENST00000289119
Q9NU23 ENST00000523377
Q8WU68 ENST00000412391
Q99665 ENST00000262345
Q99666 ENST00000016946
Q9UHD9 ENST00000338222
Q9NTQ9 ENST00000339480
Q99661 ENST00000372224
Q8WTU2 ENST00000275560
Q8N8Y2 ENST00000285393
Q86TX2 ENST00000311148
Q86U90 ENST00000373044
Q8N8Y5 ENST00000520584
Q8N8X9 ENST00000369500
Q9BQQ3 ENST00000319283
Q86TV6 ENST00000357056
P04424 ENST00000395332
Q8N998 ENST00000316398
Q9UHE5 ENST00000272425
Q8WTU0 ENST00000302259
Q9HBA0 ENST00000261740
P16403 ENST00000343677
Q9UHE8 ENST00000297205
P16402 ENST00000244534
P16401 ENST00000331442
Q9Y2N7 ENST00000377670
P16410 ENST00000302823
P17735 ENST00000355962
Q8WTT2 ENST00000371361
Q99653 ENST00000334660
Q9NU39 ENST00000306507
Q8WTT0 ENST00000360345
Q99650 ENST00000274276
Q8WU58 ENST00000452648
Q96NN9 ENST00000440238
Q6PL18 ENST00000287394
Q8N9Q2 ENST00000513458
Q13478 ENST00000233957
Q13477 ENST00000215637
Q9HBY0 ENST00000159060
Q8WUM9 ENST00000272542
Q9Y3I0 ENST00000216038
Q9Y3I1 ENST00000266087
Q9NUM3 ENST00000555840
Q9NUM4 ENST00000396668
Q9BRI3 ENST00000374276
Q13480 ENST00000262995
Q8WUM4 ENST00000457054
Q9HC97 ENST00000438013
Q9HC96 ENST00000391984
Q13485 ENST00000398417
Q8WUM0 ENST00000261396
Q9HBX9 ENST00000307765
Q9HC98 ENST00000373600
Q9HBX8 ENST00000367278
Q13489 ENST00000532808
Q13488 ENST00000265686
Q13487 ENST00000221573
Q9UIA0 ENST00000248901
Q86UN6 ENST00000371431
Q01484 ENST00000357077
Q8N9P6 ENST00000354376
Q86UN3 ENST00000335099
Q86UN2 ENST00000331238
Q9BRH9 ENST00000292562
Q9NUN5 ENST00000370577
Q9UIA9 ENST00000252512
Q9NUN7 ENST00000571623
Q13492 ENST00000393346
Q13491 ENST00000316715
Q13490 ENST00000227758
Q13496 ENST00000370396
Q13495 ENST00000599483
A6NFY4 ENST00000409150
Q9HBW1 ENST00000249363
Q9HC84 ENST00000529681
A6NFY7 ENST00000378887
Q9HBW0 ENST00000586703
Q3KP22 ENST00000432175
Q01469 ENST00000297258
Q9UIB8 ENST00000311224
A8MYJ7 ENST00000401095
Q9NV06 ENST00000297579
Q9BRG2 ENST00000245908
Q9BRG1 ENST00000253794
Q9HC78 ENST00000474710
Q8WUK0 ENST00000326674
Q9HC77 ENST00000381884
Q9HBV1 ENST00000254765
Q9HBV2 ENST00000237201
Q8N9N2 ENST00000394915
Q8N9N7 ENST00000397130
Q86UL3 ENST00000396987
Q8N9N5 ENST00000286122
Q9Y3L3 ENST00000357436
Q8N9N8 ENST00000533544
Q9Y3L5 ENST00000342983
Q02790 ENST00000001008
Q9NUP1 ENST00000320776
Q9BRF8 ENST00000381774
Q9NV12 ENST00000275767
Q9UIC8 ENST00000399069
Q01459 ENST00000370630
Q01453 ENST00000395938
Q86UL8 ENST00000354212
Q9NUP7 ENST00000370141
Q8WUJ3 ENST00000356249
Q9NUP9 ENST00000278193
Q8WUJ1 ENST00000301391
Q9HBU9 ENST00000264231
Q5H9U9 ENST00000511577
Q8WUJ0 ENST00000354586
Q9HBU6 ENST00000266517
Q86V42 ENST00000280057
Q86V40 ENST00000409520
Q9Y3E0 ENST00000229314
Q3MUY2 ENST00000527353
Q9Y3E2 ENST00000369152
Q9Y3E1 ENST00000299633
Q86V48 ENST00000374623
Q86US8 ENST00000263073
Q3KP44 ENST00000341048
Q8WV22 ENST00000361439
Q9Y3E7 ENST00000439940
Q99720 ENST00000277010
Q02779 ENST00000253055
Q01449 ENST00000223364
Q9Y3E5 ENST00000470557
Q9NUI1 ENST00000219481
Q8WV28 ENST00000224337
Q99728 ENST00000260947
Q99729 ENST00000358344
Q99726 ENST00000233535
Q99727 ENST00000287814
Q8WUQ7 ENST00000248420
Q8WV24 ENST00000266671
Q8N9U0 ENST00000360594
Q86UR1 ENST00000341349
Q8N9T8 ENST00000312962
O95801 ENST00000371281
Q86UR5 ENST00000521978
Q3KP31 ENST00000343325
Q8WUP2 ENST00000441801
Q99712 ENST00000398938
Q02763 ENST00000380036
Q9Y3F4 ENST00000419869
Q01432 ENST00000396554
Q9NUJ1 ENST00000273359
Q01433 ENST00000256578
Q8WV19 ENST00000361731
Q9BRL7 ENST00000264454
Q99719 ENST00000455784
Q9NUJ3 ENST00000531632
Q99717 ENST00000545620
Q99715 ENST00000322507
Q9NUJ7 ENST00000381663
Q8WV15 ENST00000375353
Q8WV16 ENST00000358377
O95807 ENST00000374358
Q99714 ENST00000168216
Q86V21 ENST00000316519
Q86UQ0 ENST00000354698
Q86V20 ENST00000298786
O95813 ENST00000380911
O95810 ENST00000304141
Q8N9S9 ENST00000311812
Q86V25 ENST00000517399
Q3KP66 ENST00000367342
Q86UQ4 ENST00000435803
Q86V24 ENST00000357103
Q99700 ENST00000377617
Q9NUK0 ENST00000370853
O95817 ENST00000369085
Q99708 ENST00000327155
Q9BRK5 ENST00000360001
O95816 ENST00000370693
Q99706 ENST00000345540
Q9BRK4 ENST00000370223
Q99707 ENST00000366577
Q8WV07 ENST00000535657
Q9BRK3 ENST00000445648
Q99704 ENST00000233668
O95819 ENST00000347699
Q86UP0 ENST00000397359
Q8N9R6 ENST00000312177
Q9BRK0 ENST00000378339
O95822 ENST00000262430
Q9HBZ2 ENST00000303329
Q86UP9 ENST00000424859
Q86UP8 ENST00000405086
Q8N9R8 ENST00000373549
Q02750 ENST00000307102
Q86V15 ENST00000377022
Q86UP3 ENST00000455469
Q86UP2 ENST00000395309
Q01415 ENST00000560031
Q02747 ENST00000357001
Q9NUL3 ENST00000524104
Q02742 ENST00000442371
Q8WUN7 ENST00000393792
Q9NUL5 ENST00000253110
Q9NUL7 ENST00000332395
O95825 ENST00000381554
Q9BRJ2 ENST00000312513
Q9HBY8 ENST00000341458
Q9BRJ7 ENST00000405142
Q9BRJ6 ENST00000397098
O95831 ENST00000287295
P53367 ENST00000451320
Q14722 ENST00000490337
Q9NUD5 ENST00000382352
Q14721 ENST00000371741
P53365 ENST00000254584
Q9NUD7 ENST00000360321
Q8WUE5 ENST00000276241
O95835 ENST00000253339
Q9NUD9 ENST00000374145
O95834 ENST00000587152
O95833 ENST00000494426
O95832 ENST00000295522
Q14728 ENST00000355443
Q8N9I0 ENST00000367268
Q8N9I5 ENST00000310226
A8MYP8 ENST00000329363
Q8N9H8 ENST00000340951
Q9Y3A4 ENST00000323013
Q9Y3A3 ENST00000323303
Q9BRA2 ENST00000250101
Q9Y3A6 ENST00000370282
Q9Y3A5 ENST00000246868
Q9Y3A0 ENST00000300452
Q86UG4 ENST00000379807
Q9HC16 ENST00000452957
Q9Y3A2 ENST00000373014
P53370 ENST00000304430
P39060 ENST00000359759
O95838 ENST00000262441
Q9UHW5 ENST00000543199
O95837 ENST00000341700
Q9NUE0 ENST00000374142
Q9BRA0 ENST00000333775
P15090 ENST00000256104
Q9UHW9 ENST00000354181
Q9HC10 ENST00000403946
Q13402 ENST00000571155
Q8WUD6 ENST00000229266
Q8WUD4 ENST00000546280
A4UGR9 ENST00000409273
Q8WUD1 ENST00000397762
Q13405 ENST00000279242
Q13404 ENST00000340309
Q13409 ENST00000409773
Q14739 ENST00000338179
Q14738 ENST00000485511
Q9Y3B4 ENST00000233468
Q9Y3B7 ENST00000310999
P39059 ENST00000375001
Q9Y3B6 ENST00000419198
Q86UF4 ENST00000367910
Q9Y3B1 ENST00000355937
Q9UHX3 ENST00000315576
Q86UF2 ENST00000470691
Q9Y3B3 ENST00000456936
Q86UF1 ENST00000289407
Q9Y3B2 ENST00000370902
Q9HC07 ENST00000381334
Q9UHX1 ENST00000526683
O95848 ENST00000392568
P42694 ENST00000358691
Q9UI95 ENST00000235310
O95847 ENST00000371347
P42695 ENST00000534548
Q9Y3B9 ENST00000366932
Q9Y3B8 ENST00000265881
P42696 ENST00000408888
Q13410 ENST00000244513
O95857 ENST00000262067
Q13416 ENST00000234296
Q14746 ENST00000366669
Q13415 ENST00000371568
P53384 ENST00000283027
Q9Y3C0 ENST00000240079
Q14749 ENST00000372808
Q13418 ENST00000396751
A6NGB9 ENST00000409290
Q9Y3C6 ENST00000373699
Q86UE6 ENST00000417012
Q9UHY1 ENST00000233557
Q9Y3C5 ENST00000242719
Q8N9F7 ENST00000284116
Q9Y3C8 ENST00000368003
Q86UE4 ENST00000336273
Q9Y3C7 ENST00000225728
Q6DHY5 ENST00000341264
Q9Y3C1 ENST00000510123
Q9Y3C4 ENST00000318190
Q8N9F8 ENST00000519564
A6NGC4 ENST00000330676
Q5H9L4 ENST00000372907
P42680 ENST00000381501
Q9UHY8 ENST00000379245
P42681 ENST00000264316
Q9UHY7 ENST00000273920
O95859 ENST00000222747
O95858 ENST00000373290
P42684 ENST00000502732
Q9NUG4 ENST00000300415
P42685 ENST00000606080
Q9NUG6 ENST00000202017
Q5H9L2 ENST00000372680
Q86UE8 ENST00000326270
O95864 ENST00000278840
Q13424 ENST00000217381
Q13423 ENST00000264663
O95863 ENST00000244050
Q13422 ENST00000331340
Q8WUB2 ENST00000377673
O95861 ENST00000469520
Q13421 ENST00000382862
P53396 ENST00000590151
O95868 ENST00000440095
Q13428 ENST00000377797
O95867 ENST00000428498
Q13427 ENST00000260970
O95866 ENST00000375806
Q13426 ENST00000511817
Q13425 ENST00000562438
O95865 ENST00000411456
Q9Y3D0 ENST00000422424
B2RTY4 ENST00000424560
Q8WUB8 ENST00000339209
Q8N9F0 ENST00000423729
Q9Y3D7 ENST00000318059
Q86UD5 ENST00000362026
Q5PRF9 ENST00000314471
P42677 ENST00000368567
Q9Y3D6 ENST00000223136
Q86UD4 ENST00000358067
Q9Y3D9 ENST00000313608
Q86UD3 ENST00000308660
P42679 ENST00000395045
Q9Y3D8 ENST00000380822
Q9Y3D3 ENST00000372945
Q86UD1 ENST00000328965
Q9Y3D2 ENST00000376510
Q86UD0 ENST00000409687
Q9Y3D5 ENST00000295491
Q9HBM6 ENST00000598686
P15085 ENST00000579597
Q9HBM0 ENST00000436874
Q9HBM1 ENST00000573221
Q14761 ENST00000326294
Q86UD7 ENST00000469477
Q9NUH8 ENST00000379542
Q14766 ENST00000354476
Q13435 ENST00000322535
Q14765 ENST00000358470
O95873 ENST00000375911
Q9UI38 ENST00000315170
Q13433 ENST00000590986
Q9HC62 ENST00000296257
Q14764 ENST00000395353
Q9HBU1 ENST00000253968
Q13432 ENST00000335765
O95872 ENST00000453899
P54652 ENST00000394709
Q13439 ENST00000356847
Q8N9M1 ENST00000582783
Q13438 ENST00000315970
Q8WUI4 ENST00000080059
Q14767 ENST00000261978
Q8N9M5 ENST00000396568
A8MZ59 ENST00000396841
O95870 ENST00000446529
B2RU33 ENST00000358970
A6NGE4 ENST00000441525
Q86UK7 ENST00000431526
Q86UK5 ENST00000344408
Q9HC57 ENST00000219454
Q9UI43 ENST00000242257
Q9HBT7 ENST00000395824
Q9HC56 ENST00000377865
Q9UI42 ENST00000222482
Q9HBT8 ENST00000413242
Q13442 ENST00000350498
Q14773 ENST00000340992
Q9UI47 ENST00000433211
Q9HC52 ENST00000570393
Q9UI46 ENST00000242317
Q5H9R7 ENST00000393801
Q70IA8 ENST00000319928
O95886 ENST00000373347
Q13445 ENST00000214869
Q70IA6 ENST00000329957
Q13444 ENST00000356955
Q14774 ENST00000366903
Q13443 ENST00000487273
Q8WUH6 ENST00000551813
Q8N9L1 ENST00000525172
Q13449 ENST00000490035
Q08J23 ENST00000264670
Q9NUA8 ENST00000404138
O95881 ENST00000371626
Q8N9L9 ENST00000326303
Q8WUH1 ENST00000607599
Q8WUH2 ENST00000393359
Q5H9S7 ENST00000375255
Q13451 ENST00000536438
Q9HC44 ENST00000355105
Q9NUB1 ENST00000323482
Q14781 ENST00000310942
Q9BRD0 ENST00000260210
O95897 ENST00000264833
Q9NUB4 ENST00000380589
Q13454 ENST00000503731
Q8WUG5 ENST00000206544
Q13459 ENST00000595618
Q14789 ENST00000393667
Q9HC38 ENST00000301328
P39086 ENST00000399907
A6NGG8 ENST00000331664
Q9BRC7 ENST00000417849
Q9HC35 ENST00000318522
Q14790 ENST00000358485
Q9HC36 ENST00000304478
Q13464 ENST00000399799
Q9NUC0 ENST00000367012
Q9HBR0 ENST00000374759
Q8WUF8 ENST00000395965
P54687 ENST00000539282
Q13467 ENST00000295417
Q8WUF5 ENST00000418234
P53355 ENST00000472284
P53350 ENST00000300093
Q13469 ENST00000396009
Q8N9I9 ENST00000551632
Q00169 ENST00000313486
Q9BRB3 ENST00000026218
Q9UHV2 ENST00000357949
Q9HC29 ENST00000300589
Q7L9L4 ENST00000396051
Q9HC24 ENST00000358230
Q9HC23 ENST00000295619
Q9UHV5 ENST00000456989
Q13470 ENST00000576812
Q9UHV9 ENST00000368010
Q13474 ENST00000402866
Q9UHV8 ENST00000221797
Q13472 ENST00000321105
Q9UHV7 ENST00000397786
Q9HC21 ENST00000416858
P25054 ENST00000508376
P49023 ENST00000267257
Q12824 ENST00000263121
Q12829 ENST00000571995
Q8NA03 ENST00000350221
Q9BYG3 ENST00000285814
Q9BYG0 ENST00000465010
P13073 ENST00000561569
Q9BYG5 ENST00000371610
Q9BYG4 ENST00000353265
P26378 ENST00000357083
Q00839 ENST00000283179
Q12830 ENST00000321892
P25067 ENST00000303143
Q12834 ENST00000372462
Q12837 ENST00000281321
Q9BYF1 ENST00000252519
P49006 ENST00000329421
P49005 ENST00000406581
Q12840 ENST00000455537
Q12841 ENST00000295633
P27694 ENST00000254719
P27695 ENST00000216714
Q9BYE9 ENST00000510636
Q12849 ENST00000254799
Q9BYE7 ENST00000369847
Q12846 ENST00000313843
Q9BYE0 ENST00000541682
P13056 ENST00000333003
P37023 ENST00000388922
P39687 ENST00000465139
P14384 ENST00000338356
P13051 ENST00000242576
Q9BYE3 ENST00000368787
Q9BYE2 ENST00000526090
P25025 ENST00000318507
P26358 ENST00000359526
Q12851 ENST00000294066
Q6P1A2 ENST00000261407
P26374 ENST00000366553
Q12852 ENST00000547035
P26371 ENST00000528743
P26373 ENST00000311528
Q9BYD6 ENST00000315567
Q12857 ENST00000371189
Q9BYD5 ENST00000597255
Q9UPA5 ENST00000296452
Q9BYD3 ENST00000307422
Q9BYD2 ENST00000368830
Q9BYD1 ENST00000306185
P26368 ENST00000308924
P26367 ENST00000379115
Q5TCZ1 ENST00000369774
P52630 ENST00000314128
P25098 ENST00000308595
Q12860 ENST00000347616
Q12866 ENST00000421804
P49069 ENST00000297156
Q0VGE8 ENST00000444460
Q12864 ENST00000450165
P25090 ENST00000598953
Q8NA42 ENST00000352998
P25092 ENST00000261170
P37088 ENST00000360168
Q32MH5 ENST00000546305
Q9BYK8 ENST00000467148
Q12870 ENST00000246080
Q12873 ENST00000380358
Q12874 ENST00000373019
Q12872 ENST00000541286
Q6GYQ0 ENST00000307138
Q12879 ENST00000330684
Q9BYJ4 ENST00000429814
Q8NA29 ENST00000372809
Q9BYJ9 ENST00000370339
Q9BYJ1 ENST00000318227
Q9BYJ0 ENST00000259989
Q12884 ENST00000188790
Q12882 ENST00000370192
Q6Q4G3 ENST00000357872
Q12888 ENST00000382044
Q12889 ENST00000369732
Q12887 ENST00000261643
Q8NA23 ENST00000374193
P37059 ENST00000199936
P52657 ENST00000396060
P53985 ENST00000538576
P52655 ENST00000553612
Q8NA19 ENST00000284898
P38398 ENST00000357654
Q9BYI3 ENST00000432176
Q5TD97 ENST00000541107
Q5TCX8 ENST00000366624
Q12891 ENST00000576042
P63302 ENST00000593892
Q5TCY1 ENST00000259750
P53992 ENST00000345254
Q12893 ENST00000266025
Q12894 ENST00000429673
P53990 ENST00000535424
Q12899 ENST00000428486
Q6ZPD9 ENST00000392250
P53999 ENST00000512913
Q9BYH1 ENST00000248933
P37058 ENST00000375263
Q6ZPD8 ENST00000333026
P40692 ENST00000231790
Q9BYH8 ENST00000326172
P63313 ENST00000233143
Q32MK0 ENST00000394809
P63316 ENST00000232975
Q9UP52 ENST00000223051
P14317 ENST00000314583
P14316 ENST00000393593
P14314 ENST00000589838
Q0VG99 ENST00000341735
Q9UP65 ENST00000599111
P16989 ENST00000228251
P14324 ENST00000356657
Q6KCM7 ENST00000373069
P27635 ENST00000607648
O43493 ENST00000444342
O43497 ENST00000359106
P15622 ENST00000292579
Q0VFZ6 ENST00000447353
P15621 ENST00000356109
Q5VIR6 ENST00000437048
P01019 ENST00000366667
Q9UP83 ENST00000297135
Q6P179 ENST00000437043
P01011 ENST00000393080
Q6ZP80 ENST00000412401
Q6ZP82 ENST00000295723
Q00888 ENST00000405312
Q5TCM9 ENST00000334269
Q00887 ENST00000270077
P01009 ENST00000437397
P01008 ENST00000367698
Q00889 ENST00000292125
Q9UP95 ENST00000422611
O43474 ENST00000374672
P01042 ENST00000265023
P01040 ENST00000264474
Q9BYC5 ENST00000394585
P39656 ENST00000375048
Q9BYC9 ENST00000344843
Q9BYC8 ENST00000223324
Q00872 ENST00000452455
P41970 ENST00000228741
P15692 ENST00000523873
Q9BYC2 ENST00000327582
P01037 ENST00000398402
P01036 ENST00000217423
P01034 ENST00000398409
P01033 ENST00000218388
P01031 ENST00000223642
P25024 ENST00000295683
O43482 ENST00000220514
O43488 ENST00000235835
Q9BYB4 ENST00000329517
Q5TCS8 ENST00000424296
P14373 ENST00000437160
Q5VIY5 ENST00000595646
P41968 ENST00000243911
O43491 ENST00000337057
P01024 ENST00000245907
O43490 ENST00000510224
P01023 ENST00000318602
O43451 ENST00000563244
Q12800 ENST00000257915
Q2YD98 ENST00000507531
Q12805 ENST00000355426
Q12802 ENST00000361243
Q9UP38 ENST00000287934
Q12809 ENST00000262186
P13010 ENST00000392132
O43463 ENST00000595735
O43462 ENST00000379484
P40617 ENST00000404894
O43464 ENST00000258080
Q12815 ENST00000257909
Q12816 ENST00000173898
Q5TCQ9 ENST00000307546
A5PKW4 ENST00000020673
P40616 ENST00000261636
P27658 ENST00000261037
Q9BYX4 ENST00000263642
Q9BYX2 ENST00000375066
O43555 ENST00000245983
Q9BZ95 ENST00000317025
Q9UPN6 ENST00000417268
O43559 ENST00000373018
Q9UPN4 ENST00000269392
O43557 ENST00000599359
O43556 ENST00000265735
Q9UPN3 ENST00000372915
Q9UPN9 ENST00000358465
Q9UPN7 ENST00000587283
Q6P1R3 ENST00000374979
Q5TDH0 ENST00000480945
Q1XH10 ENST00000444772
Q6P1R4 ENST00000354321
Q9BYW3 ENST00000382398
O43561 ENST00000360872
Q9BYW2 ENST00000409792
P04920 ENST00000413384
P04921 ENST00000259254
Q6YN16 ENST00000398805
Q9UQ03 ENST00000566799
O43566 ENST00000408923
Q9UQ07 ENST00000361847
O43567 ENST00000392894
Q6P1S2 ENST00000340171
Q9BYV9 ENST00000343122
Q9BYV8 ENST00000223208
Q9BZ72 ENST00000542749
Q9UQ10 ENST00000221403
Q9BYV2 ENST00000296098
Q9BYV1 ENST00000231420
Q9BZ71 ENST00000262483
Q9BZ76 ENST00000297668
Q9BYV6 ENST00000315962
Q9UQ13 ENST00000369452
Q9UPP1 ENST00000357988
Q9UQ16 ENST00000355305
Q9UPP5 ENST00000409154
Q9BZ67 ENST00000317568
Q9BYU1 ENST00000251203
Q9UPQ0 ENST00000313860
O43543 ENST00000359321
Q9UPQ4 ENST00000305364
O43542 ENST00000553264
Q9UPQ3 ENST00000304032
O43541 ENST00000288840
Q9UPQ9 ENST00000454349
O43548 ENST00000220420
Q9UPQ8 ENST00000372586
Q9UPQ7 ENST00000263666
Q9UQ26 ENST00000406091
P04908 ENST00000303910
Q711Q0 ENST00000374144
Q6P1Q0 ENST00000418425
Q6P1Q9 ENST00000262432
